CRISIS ID,COUNTRY,ISO3,INFORM_Start,INFORM_End,Date_Start,Date_End,Duration_Months,N_Observations,Improvement_Rate_Raw,INFORM_Std,Consistency_Raw,Total_Funding,HRP_Original_Requirements,HRP_Revised_Requirements,Funding_Requested,Funding_Per_Month,Cost_Effectiveness_Raw,Improvement_Rate_Normalized,Consistency_Normalized,Cost_Effectiveness_Normalized,Effectiveness_Score_01,Effectiveness_Score_100,Is_Successful
IRN004,Iran,IRN,3.4,3.9,2020-09-01,2025-12-01,63,63,-0.007936507936507936,0.1698618456127864,0.854801790271388,480138944.0,89517812.0,117284681.0,480138944.0,7621253.079365079,-0.0005008381807612959,0.46031746031746035,0.5548081225433663,0.4485928239696583,0.4863197317156718,48.631973171567175,False
IRQ001,Iraq,IRQ,3.9,3.5,2020-09-01,2025-05-01,56,56,0.007142857142857141,0.4398346796860673,0.694524179830169,15250796318.6,607196803.0,662168145.0,15250796318.6,272335648.54642856,0.0003677611159198841,0.5357142857142857,0.05891284469515566,0.5213009143200019,0.38979117912968997,38.979117912968995,False
IRQ002,Iraq,IRQ,3.5,3.4,2025-06-01,2025-12-01,6,7,0.01666666666666668,0.1253566341056017,0.8886071932163699,0.0,,0.0,0.0,0.0,0.0,0.5833333333333333,0.6584587862353227,0.4905166291544329,0.58730762836815,58.730762836814996,True
ITA002,Italy,ITA,1.9,1.8,2021-06-01,2025-12-01,54,54,0.0018518518518518493,0.20133204214671982,0.8324093297412183,0.0,,0.0,0.0,0.0,0.0,0.5092592592592593,0.4861506538119498,0.4905166291544329,0.4985781516041012,49.85781516041012,False
JAM002,Jamaica,JAM,2.5,2.5,2025-11-01,2025-12-01,1,3,0.0,0.11547005383792526,0.8964830535426433,11999998.41,,0.0,11999998.41,11999998.41,0.0,0.5,0.6826069424129602,0.4905166291544329,0.5528854085547746,55.288540855477464,False
JOR002,Jordan,JOR,2.6,3.0,2020-09-01,2025-12-01,63,63,-0.0063492063492063475,0.15327120894696267,0.8670987294593848,297794748.88,52845731.0,52845731.0,297794748.88,4726900.775873016,-0.00041312362661034114,0.46825396825396826,0.5925117378586423,0.455935171301294,0.5030675397448356,50.30675397448356,False
KEN001,Kenya,KEN,2.9,3.4,2020-09-01,2025-12-01,63,56,-0.007936507936507936,0.22120537557170303,0.8188630839688644,10095051321.0,451825224.0,451825224.0,10095051321.0,160238909.85714287,-0.00042009495076043325,0.46031746031746035,0.44461654261901523,0.4553516206720187,0.4546140170788385,45.461401707883844,False
KEN002,Kenya,KEN,2.7,3.0,2021-02-01,2021-08-01,6,7,-0.04999999999999997,0.1463850109422799,0.872307288088181,523252093.0,0.0,69749280.0,523252093.0,87208682.16666667,-0.0027346591218821823,0.3333333333333338,0.3945249093261266,0.3448148792456896,0.3539871153136428,35.39871153136428,False
LAO003,Laos,LAO,1.5,1.5,2023-10-01,2024-01-01,3,4,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.5,1.0,0.4905166291544329,0.6481033258308866,64.81033258308867,True
LAO004,Laos,LAO,2.0,2.1,2024-10-01,2025-01-01,3,4,-0.03333333333333336,0.050000000000000044,0.9523809523809523,0.0,,0.0,0.0,0.0,0.0,0.33333333333333337,0.8442764613658281,0.4905166291544329,0.5180529309073016,51.80529309073017,False
